code,industry,name
02476,Electronic Components,VGT
02477,Telecom Services,WELLCELL HOLD
02479,,TIANJUDIHE
02480,Biotechnology,LUZHU BIOTECH-B
02481,Utilities—Independent Power Producers,SL GEMINI
02482,Integrated Freight & Logistics,LOGORY
02483,Credit Services,K CASH
02486,Advertising Agencies,PLUS GP HOLDING
02487,Biotechnology,CUTIA-B
02488,Auto Parts,LAUNCH TECH
02489,Gold,PERSISTENCEGOLD
02490,Integrated Freight & Logistics,LC HOLDING
02493,Biotechnology,MABWELL-B
02495,Software—Infrastructure,VOICECOMM
02496,,YZYBIO-B
02497,Farm Products,FUJING HOLDINGS
02498,Computer Hardware,ROBOSENSE
02499,Farm & Heavy Construction Machinery,FOLANGSI
02500,Medical Devices,VENUS MEDTECH-B
02501,Information Technology Services,MAIYUE TECH
02502,Specialty Chemicals,JINYUAN HCHEM
02503,Engineering & Construction,ZHONGSHENJIANYE
02505,Integrated Freight & Logistics,EDA GROUP HLDGS
02506,Health Information Services,XUNFEIHEALTH
02507,Aerospace & Defense,CIRRUS
02508,Medical Care Facilities,SAINT BELLA GP
02509,Biotechnology,QYUNS-B
02510,Marine Shipping,TS LINES
02511,Biotechnology,HIGHTIDE-B
02512,Information Technology Services,CLOUD FACTORY
02513,Software—Infrastructure,Z.AI
02515,Engineering & Construction,TJCD
02516,Integrated Freight & Logistics,FAR INTL
02517,Packaged Foods,GUOQUAN
02518,Internet Content & Information,AUTOHOME-S
02519,"Furnishings, Fixtures & Appliances",AUGROUP
02520,Engineering & Construction,SHANXI INSTALL
02521,Personal Services,SHENGHUI CLEAN
02522,Medical Care Facilities,RIMAG GROUP
02525,Auto Parts,HESAI-W
02526,Medical Devices,DIAGENS-B
02528,Apparel Retail,FW FASHION INT
02529,Specialty Business Services,HOLLWIN URBAN
02530,Packaged Foods,NUMANS
02531,Auto Parts,CARLINK TECH
02533,Semiconductors,BLACK SESAME
02535,Metal Fabrication,WK GROUP
02536,Resorts & Casinos,PALASINO
02539,Personal Services,LEMO SERVICES
02540,Advertising Agencies,LESI GROUP
02543,Leisure,DAHON TECH
02545,Telecom Services,ZHONGGAN COMM
02546,Other Industrial Metals & Mining,ZHIHUI MINING
02549,"Furnishings, Fixtures & Appliances",CAROTE LTD
02550,Advertising Agencies,EASOU TECH
02551,Electronic Components,APT ELECTRONICS
02552,Drug Manufacturers—Specialty & Generic,HUA MEDICINE-B
02553,Chemicals,SHOUGANG LANZA
02555,Packaged Foods,CHABAIDAO
02556,Software—Application,MARKETINGFORCE
02558,Banks—Regional,JINSHANG BANK
02559,Rental & Leasing Services,DIDA INC-PF
02560,Building Materials,CONCH MAT TECH
02561,Drug Manufacturers—Specialty & Generic,VISEN PHARMA-B
02562,Software—Infrastructure,SYNAGISTICS
02563,Biotechnology,BIOSTAR PHARM-B
02565,Biotechnology,PEGBIO CO-B
02566,Biotechnology,JIUYUAN GENE
02567,Software—Infrastructure,QINIU
02569,Household & Personal Products,SOFT INTL
02570,Specialty Industrial Machinery,REFIRE
02571,Software—Infrastructure,SAIMO
02573,Confectioners,NEWTREND GROUP
02575,Drug Manufacturers—Specialty & Generic,XUANZHUBIO-B
02576,Health Information Services,TAIMEI TECH
02577,Semiconductors,INNOSCIENCE
02579,Specialty Chemicals,CNGR
02580,Building Products & Equipment,AUX ELECTRIC
02581,Medical Care Facilities,BENQ HOLDING
02582,Specialty Industrial Machinery,GUOFUHEE
02583,Luxury Goods,HIPINE
02585,Luxury Goods,MOKINGRAN
02586,Software—Infrastructure,DMALL
02587,Health Information Services,HEALTHYWAY INC
02588,Rental & Leasing Services,BOC AVIATION
02589,Restaurants,AUNTEA JENNY
02590,Software—Application,GEEKPLUS-W
02591,Biotechnology,INNOGEN-B
02592,Biotechnology,CLOUDBREAK-B
02593,Packaged Foods,HERBS GROUP
02595,Biotechnology,GENFLEET-B
02596,Banks—Regional,YIBIN BANK
02597,Telecom Services,XUNZHONG
02598,Software—Infrastructure,LIANLIAN
02600,Aluminum,CHALCO
02601,Insurance—Life,CPIC
02602,Real Estate Services,ONEWO
02603,Packaging & Containers,JIHONG CO
02605,Advertising Agencies,METALIGHT
02607,Medical Distribution,SH PHARMA
02608,Real Estate—Development,SUNSHINE 100
02609,Medical Care Facilities,BAYZED HEALTH
02610,Aluminum,NANSHAN AL INTL
02611,Capital Markets,GTHT
02613,Aerospace & Defense,CONTIOCEAN
02616,Biotechnology,CSTONE PHARMA-B
02617,Biotechnology,TRANSTHERA-B
02618,Integrated Freight & Logistics,JD LOGISTICS
02619,"Furnishings, Fixtures & Appliances",XJ ELECTRICS
02621,Insurance Brokers,SHOUHUI GROUP
02623,Other Industrial Metals & Mining,HK GOLD IND GP
02625,Department Stores,JIANGSU HORIZON
02627,,AB&B BIO-TECH-B
02628,Insurance—Life,CHINA LIFE
02629,,MIRXES-B
02630,Drug Manufacturers—General,VIGONVITA-B
02631,Semiconductor Equipment & Materials,SICC
02632,Electronic Components,NEW VISION CO
02633,Drug Manufacturers—Specialty & Generic,JACOBSON PHARMA
02635,Information Technology Services,NUOBIKAN
02637,Drug Manufacturers—Specialty & Generic,HAIXI PHARMA
02638,Utilities—Regulated Electric,HKELECTRIC-SS
02643,Software—Application,CAOCAO INC
02648,Packaged Foods,ANJOY FOOD
02649,,ALSCO POOLING
02650,Electronic Components,ZHIDA TECH
02651,Medical Care Facilities,DAZHONG DENTAL
02652,Drug Manufacturers—Specialty & Generic,CF PHARMTECH
02655,Utilities—Renewable,GUOXIA TECH
02656,Medical Distribution,160 HEALTH
02657,Household & Personal Products,FOREST CABIN
02658,Semiconductor Equipment & Materials,TIANYU SEMI
02659,Biotechnology,BAO PHARMA-B
02660,Electronic Gaming & Multimedia,ZENGAME
02661,Health Information Services,QINGSONG HEALTH
02663,Engineering & Construction,KPA-BM HLDGS
02665,Electronic Components,SEYOND
02666,Credit Services,UNI MEDICAL
02667,Medical Care Facilities,TONGRENTANGCARE
