code,name,industry,lot_size,enabled,metadata_source,metadata_checked_at
AAPL,Apple,US mega-cap technology,1,1,yfinance/company filings,2026-09-03
MSFT,Microsoft,US mega-cap technology,1,1,yfinance/company filings,2026-09-03
NVDA,NVIDIA,US mega-cap technology,1,1,yfinance/company filings,2026-09-03
TSLA,Tesla,US mega-cap technology,1,1,yfinance/company filings,2026-09-03
