code,name,industry,lot_size,enabled,metadata_source,metadata_checked_at
00700,腾讯控股,互联网平台,100,1,公开报价页面,2026-09-03
09988,阿里巴巴-W,互联网平台,100,1,公司公告,2026-09-03
09999,网易-S,互联网平台,100,1,公司公告,2026-09-03
03690,美团-W,互联网平台,100,1,公开报价页面,2026-09-03
01810,小米集团-W,智能硬件,200,1,公开报价页面,2026-09-03
00941,中国移动,电信运营商,500,1,公开报价页面,2026-09-03
02318,中国平安,保险,500,1,公开报价页面,2026-09-03
01211,比亚迪股份,新能源汽车,100,1,港交所公告,2026-09-03
